island,site_name,maxt
CZ,cz1,23.5
CZ,cz10,23.9
CZ,cz100,22.9
CZ,cz101,22.8
CZ,cz102,22.8
CZ,cz103,22.8
CZ,cz104,22.8
CZ,cz105,22.9
CZ,cz106,23.2
CZ,cz107,23.2
CZ,cz108,22.9
CZ,cz109,22.9
CZ,cz11,23.9
CZ,cz110,22.9
CZ,cz111,22.9
CZ,cz112,22.9
CZ,cz114,22.9
CZ,cz115,22.9
CZ,cz117,23.9
CZ,cz118,23.9
CZ,cz119,24
CZ,cz12,23.9
CZ,cz120,24
CZ,cz121,23.9
CZ,cz122,24.1
CZ,cz123,23.8
CZ,cz125,23.8
CZ,cz126,23.8
CZ,cz127,23.8
CZ,cz128,23.4
CZ,cz13,24
CZ,cz130,22.9
CZ,cz131,23.6
CZ,cz132,23.6
CZ,cz133,23.6
CZ,cz134,23.6
CZ,cz135,23.6
CZ,cz136,23.5
CZ,cz137,23.7
CZ,cz138,23.7
CZ,cz139,23.7
CZ,cz14,24
CZ,cz140,23.7
CZ,cz141,23.1
CZ,cz142,23.4
CZ,cz144,23.4
CZ,cz145,23.4
CZ,cz146,23.4
CZ,cz147,23.4
CZ,cz148,23.4
CZ,cz149,23.1
CZ,cz15,23.9
CZ,cz150,23.1
CZ,cz151,23.1
CZ,cz152,23.1
CZ,cz155,23.1
CZ,cz157,23.1
CZ,cz158,23.1
CZ,cz159,23.1
CZ,cz16,24.1
CZ,cz160,23
CZ,cz161,23
CZ,cz162,23
CZ,cz163,23
CZ,cz164,23.1
CZ,cz165,23.1
CZ,cz166,23.1
CZ,cz167,23.1
CZ,cz168,23.1
CZ,cz169,23.1
CZ,cz171,23.1
CZ,cz172,23.1
CZ,cz173,23.1
CZ,cz174,23.1
CZ,cz175,23.1
CZ,cz176,22.8
CZ,cz177,22.8
CZ,cz178,22.8
CZ,cz179,23.1
CZ,cz18,24.3
CZ,cz180,22.9
CZ,cz181,22.8
CZ,cz186,22.8
CZ,cz187,22.8
CZ,cz188,22.7
CZ,cz189,22.7
CZ,cz19,23.8
CZ,cz191,23.2
CZ,cz194,23.4
CZ,cz195,23.4
CZ,cz196,23.4
CZ,cz197,23.4
CZ,cz198,23.2
CZ,cz199,23
CZ,cz2,23.5
CZ,cz20,24.3
CZ,cz200,22.8
CZ,cz201,22.8
CZ,cz202,22.8
CZ,cz203,22.8
CZ,cz204,22.8
CZ,cz205,22.8
CZ,cz206,22.8
CZ,cz208,22.8
CZ,cz21,23.4
CZ,cz214,22.8
CZ,cz215,22.8
CZ,cz216,22.8
CZ,cz217,22.8
CZ,cz220,23.9
CZ,cz221,23.9
CZ,cz222,23.9
CZ,cz249,23.2
CZ,cz250,22.9
CZ,cz251,22.8
CZ,cz226,23.4
CZ,cz227,24.2
CZ,cz228,23.1
CZ,cz229,23
CZ,cz230,22.8
CZ,cz231,23.4
CZ,cz232,23.5
CZ,cz233,23.5
CZ,cz234,23.5
CZ,cz235,23.4
CZ,cz236,23.4
CZ,cz237,23.4
CZ,cz238,23.6
CZ,cz239,23.5
CZ,cz240,23.5
CZ,cz241,23.4
CZ,cz242,23.5
CZ,cz243,23.5
CZ,cz244,23.4
CZ,cz245,23.4
CZ,cz246,23.9
CZ,cz247,23.5
CZ,cz248,23.4
CZ,cz25,23.1
CZ,cz26,23
CZ,cz27,23
CZ,cz28,23
CZ,cz3,23.5
CZ,cz30,23
CZ,cz31,23
CZ,cz32,23
CZ,cz33,23
CZ,cz34,23.1
CZ,cz35,23.1
CZ,cz36,23
CZ,cz37,23
CZ,cz38,23
CZ,cz39,23
CZ,cz4,23.5
CZ,cz40,23
CZ,cz41,23
CZ,cz42,23
CZ,cz43,23
CZ,cz44,23
CZ,cz45,23
CZ,cz46,23
CZ,cz47,23.1
CZ,cz48,23
CZ,cz49,23
CZ,cz5,23.5
CZ,cz50,23
CZ,cz52,23
CZ,cz55,23
CZ,cz56,23
CZ,cz57,23
CZ,cz58,23
CZ,cz59,23
CZ,cz60,22.9
CZ,cz62,23
CZ,cz63,23
CZ,cz64,23
CZ,cz65,23
CZ,cz68,23
CZ,cz69,23
CZ,cz7,23.5
CZ,cz70,23
CZ,cz71,23
CZ,cz72,23
CZ,cz73,23.2
CZ,cz74,23.2
CZ,cz75,23.2
CZ,cz76,23.2
CZ,cz77,23.2
CZ,cz78,23.2
CZ,cz79,23.3
CZ,cz8,23.4
CZ,cz80,23.3
CZ,cz81,23.2
CZ,cz83,23.2
CZ,cz84,23.2
CZ,cz85,23.2
CZ,cz87,23.1
CZ,cz88,23.1
CZ,cz89,23.1
CZ,cz9,23.7
CZ,cz90,23.1
CZ,cz91,22.9
CZ,cz92,22.9
CZ,cz93,22.7
CZ,cz95,22.7
CZ,cz96,22.9
CZ,cz97,23.4
CZ,cz98,22.9
CZ,cz99,22.9
MI,mi1,21.3
MI,mi11,21.4
MI,mi12,21.3
MI,mi13,21.3
MI,mi14,21.3
MI,mi16,21.5
MI,mi17,21.5
MI,mi19,21.6
MI,mi2,21.3
MI,mi20,21.6
MI,mi21,21.6
MI,mi22,21.4
MI,mi23,21.4
MI,mi24,21.4
MI,mi26,21.4
MI,mi27,21.4
MI,mi28,21.4
MI,mi29,21.5
MI,mi30,21.5
MI,mi31,21.2
MI,mi32,21.2
MI,mi33,21.2
MI,mi34,21.2
MI,mi35,21.2
MI,mi36,21.3
MI,mi37,21.3
MI,mi38,21.2
MI,mi39,21.2
MI,mi40,21.7
MI,mi43,21.4
MI,mi44,21.6
MI,mi45,21.4
MI,mi46,21.4
MI,mi47,21.4
MI,mi48,21.4
MI,mi49,21.7
MI,mi5,21.4
MI,mi50,21.2
MI,mi51,21.3
MI,mi52,21.2
MI,mi53,21.2
MI,mi54,21.2
MI,mi55,21.2
MI,mi56,21.3
MI,mi57,21.2
MI,mi58,21.2
MI,mi59,21.2
MI,mi60,21.3
MI,mi61,21.3
MI,mi62,21.3
MI,mi63,21.3
MI,mi64,21.3
MI,mi65,21.3
MI,mi67,21.4
MI,mi68,21.4
MI,mi69,21.5
MI,mi7,21.4
MI,mi70,21.4
MI,mi71,21.7
MI,mi72,21.7
MI,mi73,21.3
MI,mi74,21.5
MI,mi75,21.3
MI,mi76,21.4
MI,mi77,21.4
MI,mi78,21.2
MI,mi79,21.2
MI,mi8,21.4
MI,mi80,21.2
MI,mi81,21.2
MI,mi82,21.2
MI,mi83,21.2
MI,mi84,21.4
MI,mi85,21.4
MI,mi86,21.4
MI,mi9,21.4
RO,ro1,22
RO,ro10,22.4
RO,ro100,22.3
RO,ro101,22.3
RO,ro102,22.3
RO,ro103,22.3
RO,ro104,22.3
RO,ro105,22.3
RO,ro107,22.4
RO,ro108,22.4
RO,ro109,21.9
RO,ro11,22.4
RO,ro110,21.9
RO,ro112,22
RO,ro113,21.9
RO,ro114,21.8
RO,ro115,21.8
RO,ro116,22
RO,ro117,22
RO,ro118,22
RO,ro119,22.2
RO,ro12,22.4
RO,ro126,22
RO,ro127,22.3
RO,ro128,22
RO,ro129,22.2
RO,ro13,22.4
RO,ro130,22.1
RO,ro131,22.2
RO,ro132,22.2
RO,ro133,22.2
RO,ro134,22.1
RO,ro14,22.4
RO,ro142,21.8
RO,ro143,21.6
RO,ro145,22.1
RO,ro147,22.1
RO,ro148,22.2
RO,ro149,22.4
RO,ro15,22.4
RO,ro151,22.2
RO,ro152,22.2
RO,ro153,22.2
RO,ro154,22.4
RO,ro155,22.4
RO,ro156,21.9
RO,ro157,21.9
RO,ro158,22.4
RO,ro159,22.2
RO,ro16,22.4
RO,ro160,22.2
RO,ro161,21.9
RO,ro162,21.9
RO,ro163,22.4
RO,ro164,22.4
RO,ro165,22
RO,ro166,22
RO,ro167,22
RO,ro168,21.9
RO,ro169,22.4
RO,ro17,22.4
RO,ro170,22.4
RO,ro171,22.4
RO,ro172,22.4
RO,ro173,22.4
RO,ro174,22.3
RO,ro175,22.4
RO,ro176,21.9
RO,ro177,22.1
RO,ro178,22.4
RO,ro179,21.9
RO,ro18,22.4
RO,ro180,21.9
RO,ro181,22.4
RO,ro182,22.4
RO,ro183,22.4
RO,ro184,22.4
RO,ro19,22.4
RO,ro2,22
RO,ro20,22
RO,ro22,22.2
RO,ro23,22.2
RO,ro24,22.2
RO,ro25,22.2
RO,ro26,22.2
RO,ro27,22.2
RO,ro28,22.2
RO,ro29,22
RO,ro3,21.9
RO,ro30,22.2
RO,ro31,22.2
RO,ro33,21.9
RO,ro34,21.9
RO,ro37,21.9
RO,ro38,21.9
RO,ro4,22.3
RO,ro41,22.3
RO,ro42,22.3
RO,ro43,22.3
RO,ro44,22.3
RO,ro45,22.3
RO,ro46,22.3
RO,ro47,22.3
RO,ro48,22.4
RO,ro49,22.3
RO,ro5,22.3
RO,ro50,22.3
RO,ro52,21.8
RO,ro53,21.8
RO,ro54,21.8
RO,ro55,21.8
RO,ro56,21.3
RO,ro57,21.8
RO,ro58,21.8
RO,ro60,21.9
RO,ro61,21.9
RO,ro62,21.8
RO,ro63,21.8
RO,ro64,21.9
RO,ro66,21.9
RO,ro67,21.9
RO,ro68,21.9
RO,ro71,22.4
RO,ro72,22.4
RO,ro73,22.4
RO,ro74,22.4
RO,ro75,22.3
RO,ro76,22.3
RO,ro77,22.3
RO,ro78,22.3
RO,ro79,21.9
RO,ro8,22.4
RO,ro81,21.9
RO,ro82,21.9
RO,ro83,22
RO,ro86,21.8
RO,ro88,21.8
RO,ro89,22.3
RO,ro9,22.4
RO,ro90,22.3
RO,ro91,22.4
RO,ro92,22.4
RO,ro93,22.4
RO,ro94,22.4
RO,ro95,22.4
RO,ro96,22.4
RO,ro97,22.3
RO,ro98,22.2