ss,bill_sa,mass,wing,billd,billw,billl,tarsus,obs,island,pc1,pc2
130,79.8,21.6,62.6,6.24,5.31,8.8,17.99,115,CZ,-1.192192336,-0.013345409
174,74,19.8,60.56,5.82,4.88,8.8,18.83,163,CZ,0.747051387,-0.745424411
175,90.4,21.6,60.59,6.67,5.68,9.32,19.58,60,CZ,-2.462315651,2.151112832
176,79.5,20.5,64.19,5.67,4.67,9.79,19,60,CZ,2.626698257,1.752031673
179,76,19.4,60.96,6.09,4.97,8.75,18.72,58,CZ,-0.131633079,-0.573480804
180,81.2,21.6,57.76,6.13,5.07,9.23,19.29,60,CZ,0.063870642,0.906635334
181,75.8,18.8,61.24,5.96,5.01,8.8,19.36,60,CZ,0.130781087,-0.512622424
182,88.5,20.5,63.2,6.56,5.3,9.5,19.48,8,CZ,-1.157284494,2.244547038
187,81.6,21.2,62.57,6.23,5.53,8.83,19.62,60,CZ,-1.63444129,0.248087475
188,80,19.5,59.45,6.27,5.05,9,18.73,60,CZ,-0.459419536,0.361167795
190,71.6,18,58.83,5.87,4.8,8.54,17.83,60,CZ,0.534538597,-1.505750234
191,77.6,20.9,63.22,6.24,5.05,8.75,20.37,60,CZ,-0.657888322,-0.373958363
192,82.4,19.8,62.6,6.05,5.05,9.45,19.79,60,CZ,0.528735938,1.442952738
193,73.6,19.5,61.86,6.36,5.33,8.02,18.59,60,CZ,-2.348466143,-2.101883371
194,78.6,21.7,63.04,6.3,5.36,8.58,21.4,60,CZ,-1.678830304,-0.542031544
195,77.4,22.2,63.65,5.96,4.84,9.12,20.23,60,CZ,0.85758037,0.25139148
201,86.3,22.1,63.1,6.48,5.42,9.23,20.72,60,CZ,-1.533325622,1.509685952
202,80,18.7,61.12,6.42,4.85,9.04,20.11,60,CZ,-0.309837539,0.438369478
203,76.1,19.6,64.59,5.92,4.96,8.9,19.82,60,CZ,0.442944691,-0.306484401
206,80,21.6,61.6,6.41,5.13,8.83,19.1,60,CZ,-1.144580565,0.069968675
208,76.3,21,62.02,6.26,5.22,8.46,19.45,60,CZ,-1.398633947,-1.035305847
210,79.9,20,60.24,5.94,5.65,8.78,18.41,60,CZ,-1.291495885,-0.048172527
211,81.9,21.3,60.63,6.07,5.03,9.39,18.64,60,CZ,0.463689195,1.273653917
284,73.4,20.4,60.25,5.94,4.4,9.04,19.46,60,MI,1.812778434,-0.363416587
285,76.6,20.9,60.46,5.6,5.01,9.19,20.07,53,MI,1.377088974,0.275712108
288,70.6,19.6,66.06,5.41,4.45,9.12,20.22,18,MI,3.005728918,-0.561567321
289,73.7,22.3,61.39,5.63,4.65,9.13,20.62,59,MI,2.057695261,-0.170995818
292,74.8,20.3,59.9,5.42,4.92,9.21,18.48,60,MI,2.016434078,0.098031407
293,75.9,22.2,59.98,5.8,4.8,9.12,19.87,40,MI,1.316428762,0.076730325
294,82.2,20.5,60.5,6.12,5.29,9.17,20.15,35,MI,-0.474695126,0.912939499
297,68.4,19.2,60.86,5.6,4.56,8.57,19.17,9,MI,1.730942416,-1.860663022
298,72.4,21,58.94,5.84,4.75,8.71,20.14,60,MI,0.898589305,-1.092367005