island_code,month,month_code,var_wsmean_ms,var_gustmax_ms,var_tmean_c,var_tdailymax_c,var_tmax_c,var_tdailymin_c,var_tmin_c,var_rhmean_perc,var_rhmax_perc,var_rhmin_perc,var_preciptot_inch
cz,Jan,1,1.138,16.317,12.542,19.901,27.778,6.731,1.278,59.37,97.4,8,2.833
cz,Feb,2,1.254,15.96,12.515,19.6,28.166,6.803,2.334,65.645,97.8,9.9,2.488
cz,Mar,3,1.396,16.316,14.041,21.071,30.445,7.819,2.54,60.211,98.2,9.6,1.402
cz,Apr,4,1.842,17.882,14.795,21.758,31.333,8.565,3.833,61.552,97.7,9.3,0.617
cz,May,5,1.842,16.137,16.488,22.82,32.887,10.308,6.668,63.314,97.5,11.6,0.306
cz,Jun,6,1.182,12.965,17.406,24.136,32.332,11.501,8.555,71.098,97.6,22.4,0.278
cz,Jul,7,0.959,9.522,19.024,26.086,34.168,13.244,10.388,72.413,96.8,20.36,0.003
cz,Aug,8,0.893,10.862,19.648,27.603,35.111,13.066,9.665,69.982,97.4,19.7,0.002
cz,Sep,9,0.908,11.757,19.682,28.149,38.666,13.021,9.221,66.768,97.4,9.7,0.064
cz,Oct,10,1.171,14.797,17.854,25.784,36.5,11.592,7.389,62.781,97.5,6.6,0.651
cz,Nov,11,1.133,14.173,14.675,22.511,32.111,8.8,4.167,60.56,97.6,6.6,1.223
cz,Dec,12,1.219,16.406,11.603,18.395,27.278,6.47,1.057,66.609,97.8,11.7,3.703
mi,Jan,1,8.5,31.628,11.202,13.914,21.94,9.596,4.22,83.532,100,14.6,0
mi,Feb,2,8.994,26.946,10.828,13.39,21.26,8.968,6,88.406,100,0,0.01
mi,Mar,3,11.196,31.918,10.5,13.118,22.6,8.782,6.2,89.04,100,0,0
mi,Apr,4,11.04,24.73,10.874,13.084,21.566,9.042,6.93,76.238,84.108,3.492,5.016
mi,May,5,11.884,31.358,10.916,14.048,25.92,8.714,-1.138,90.598,100,15.8,0
mi,Jun,6,11.68,29.642,12.346,14.98,21.86,10.724,8.46,79.422,100,0,0
mi,Jul,7,9.502,23.984,13.416,16.954,21.06,11.67,10.56,92.708,100,19.88,0
mi,Aug,8,10.52,26.998,13.296,16.056,23.36,11.656,9.92,92.422,100,0,0
mi,Sep,9,9.02,27.246,15.584,18.864,30.48,12.976,10.42,87.308,100,7.18,0
mi,Oct,10,7.233333333,27.11,13.66666667,17.09666667,27.8,10.50666667,-1.6,84.83333333,100,0,6.59
mi,Nov,11,6.8775,25.7475,12.39,15.1425,24.3,10.775,7.95,89.8025,100,0,0
mi,Dec,12,9.315,32.45,10.14,12.3325,17.775,8.72,2.625,91.36,100,0,0
ro,Jan,1,5.568,25.75,12.594,16.651,25.833,9.639,4.61,58.656,98.3,8.5,1.807
ro,Feb,2,6.167,26.957,11.609,15.637,25.89,8.688,4.499,69.047,98.3,10.9,1.464
ro,Mar,3,6.77,26.912,11.672,15.942,27.723,8.535,4.888,73.628,98.8,11.9,0.992
ro,Apr,4,7.726,27.091,11.47,15.842,28.277,8.354,4.888,76.735,98.2,15.2,0.562
ro,May,5,7.827,26.32555556,11.80777778,16.06666667,27.78,8.844444444,6.728888889,76.219,92.8,20.3,0.129
ro,Jun,6,6.806,23.738,13.23555556,17.79444444,28.08777778,10.16222222,8.023333333,78.689,98.5,25.1,0.181
ro,Jul,7,5.703,19.804,14.705,19.399,26.89,11.556,9.889,83.872,98.9,22.3,0.069
ro,Aug,8,5.912,19.446,15.636,20.533,30.389,12.267,10.332,80.31,98.2,14.2,0.088
ro,Sep,9,5.564,21.457,17.607,22.665,34.112,13.969,10.251,71.149,98.7,9.7,0.098
ro,Oct,10,5.714,23.246,17.044,21.663,34.001,13.517,9.167,66.852,99.1,6.6,0.317
ro,Nov,11,5.462,23.694,14.686,19.029,30.112,11.537,7.5,61.537,98.8,7.4,0.862
ro,Dec,12,6.02,24.9,11.229,14.96,25.167,8.69,4.279,69.319,98.8,12.2,2.318